element,id,amenity,operator,brand,cash_in,opening_hours,target,cafe_300,restaurant_300,pharmacy_300,shop_300,bus_stop_300,cafe_500,restaurant_500,pharmacy_500,shop_500,bus_stop_500,poi_sum_300,poi_sum_500
node,2627597739.0,atm,Уралсиб,Уралсиб,,Mo-Fr 09:00-20:00; Sa 10:00-16:00,1,1,1,2,4,3,1,1,3,8,5,11,18
node,2627628628.0,atm,Уралсиб,Уралсиб,,24/7,1,0,0,2,5,4,0,0,4,5,9,11,18
node,2627628629.0,atm,Уралсиб,Уралсиб,,24/7,1,2,2,3,6,3,3,2,6,11,10,16,32
node,2627628630.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-21:00,1,2,0,1,5,3,2,0,1,5,7,11,15
node,2627628632.0,atm,Уралсиб,Уралсиб,,Mo-Su 09:00-21:30,1,0,0,0,1,2,1,1,0,2,5,3,9
node,2627628636.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-20:00,1,0,0,0,0,2,0,0,0,1,3,2,4
node,2627628642.0,atm,Уралсиб,Уралсиб,,24/7,1,3,2,4,7,5,5,3,5,8,8,21,29
node,2627628649.0,atm,Уралсиб,Уралсиб,,Mo-Fr 09:00-18:00,1,0,1,1,1,1,0,2,1,3,2,4,8
node,2627628664.0,atm,Уралсиб,Уралсиб,,Mo-Fr 09:00-20:00; Sa 10:00-16:00,1,0,0,0,0,1,0,0,1,4,4,1,9
node,2627628670.0,atm,Уралсиб,Уралсиб,yes,24/7,1,2,2,2,0,0,7,11,5,3,3,6,29
node,2627628680.0,atm,Уралсиб,Уралсиб,,Mo-Su 08:00-20:00,1,0,0,2,0,1,0,0,2,1,2,3,5
node,2627628687.0,atm,Уралсиб,Уралсиб,,24/7,1,0,0,1,3,3,1,0,1,3,8,7,13
node,2627628693.0,atm,Уралсиб,Уралсиб,,Mo-Su 09:00-23:00,1,0,0,1,3,3,1,0,1,4,4,7,10
node,2627662763.0,atm,Уралсиб,Уралсиб,,24/7,1,1,0,2,5,1,1,0,3,7,4,9,15
node,2627662764.0,atm,Уралсиб,Уралсиб,,24/7,1,5,3,1,2,2,9,3,3,5,8,13,28
node,2627667994.0,atm,Уралсиб,Уралсиб,,24/7,1,0,0,2,3,1,0,0,3,6,5,6,14
node,2627671487.0,atm,"ПАО Банк ""ФК Открытие""",,,24/7,1,5,4,5,3,3,8,7,8,9,4,20,36
node,2627741509.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-22:00,1,2,1,1,1,7,4,1,7,6,15,12,33
node,2627783583.0,atm,Уралсиб,Уралсиб,,Mo-Su 07:30-22:00,1,0,3,0,2,2,0,3,0,2,4,7,9
node,2627783584.0,atm,Уралсиб,Уралсиб,,24/7,1,1,0,2,1,4,2,1,3,8,5,8,19
node,2627783585.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-22:00,1,6,4,4,7,4,24,9,11,13,5,25,62
node,2627783586.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-22:00,1,9,11,2,1,2,17,20,3,3,4,25,47
node,2627783587.0,atm,Уралсиб,Уралсиб,,Mo-Fr 09:00-20:00; Sa 10:00-16:00,1,0,1,3,5,1,0,1,6,6,6,10,19
node,2627783589.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-22:00,1,0,0,3,4,10,3,0,7,8,15,17,33
node,2627783590.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-21:00,1,4,0,6,5,5,6,0,11,9,9,20,35
node,2627783591.0,atm,Уралсиб,Уралсиб,,Mo-Su 10:00-21:00,1,0,0,1,1,1,0,0,4,4,3,3,11
node,2627806009.0,atm,Уралсиб,Уралсиб,,24/7,1,0,0,2,3,4,3,0,6,8,7,9,24
node,2628200322.0,atm,Уралсиб,Уралсиб,,24/7,1,0,0,0,0,0,0,0,0,0,1,0,1
node,2628200325.0,atm,Уралсиб,Уралсиб,,24/7,1,1,0,2,2,2,3,0,3,6,4,7,16
node,2651730806.0,atm,Райффайзен,Райффайзен,,,1,1,1,3,4,5,3,6,7,10,12,14,38
node,2656349124.0,atm,ВТБ,ВТБ,,,1,5,1,4,5,2,5,1,5,5,4,17,20
